trial,duration,answer,correct,distractor count,distractor chance
1,3.923705,1,1,8,0
2,4.123772,0,0,4,0
3,3.977855,1,1,2,0
4,4.012266,0,0,2,0
5,3.900194,0,0,6,0
6,4.990812,0,1,8,0
7,3.956409,0,1,10,0
8,3.799095,1,1,6,0
9,3.833435,0,0,8,0
10,3.679062,0,0,2,0
11,3.95594,1,1,8,0
12,4.145935,0,0,8,0
13,4.056179,1,1,8,0
14,3.966408,1,1,8,0
15,4.313812,1,1,2,0
16,4.047035,1,1,10,0
17,3.833778,0,0,4,0
18,4.311005,1,1,6,0
19,5.389709,1,1,10,0
20,3.845261,0,0,10,0
21,3.788704,1,1,8,0
22,3.98877,1,1,8,0
23,5.178307,1,1,8,0
24,3.722328,1,1,6,0
25,3.766602,0,0,4,0
26,4.444077,1,1,4,0
27,3.790558,0,0,2,0
28,3.844879,1,1,10,0
29,4.066772,0,0,8,0
30,4.778656,1,1,2,0
31,3.91188,0,1,10,0
32,3.866898,0,0,8,0
33,4.189209,0,0,2,0
34,4.045395,1,1,4,0
35,4.712677,1,1,4,0
36,4.122818,0,0,4,0
37,3.811401,0,0,2,0
38,4.5336,1,1,8,0
39,3.811783,1,1,2,0
40,4.76825,0,0,6,0
41,4.342865,0,0,4,0
42,3.822067,1,1,10,0
43,3.978287,0,0,2,0
44,3.77829,1,1,10,0
45,3.912064,1,1,8,0
46,3.923279,1,1,6,0
47,3.877792,0,0,2,0
48,4.134003,0,0,2,0
49,3.746826,1,1,4,0
50,4.167084,0,0,2,0
