trial,duration,answer,correct,distractor count,distractor chance
1,5.112577,0,1,10,0
2,4.179109,1,1,8,0
3,4.02277,0,0,4,0
4,3.844517,1,1,8,0
5,4.133884,0,0,6,0
6,4.078728,1,1,4,0
7,3.734177,1,1,4,0
8,3.822514,0,0,8,0
9,3.367222,1,1,2,0
10,4.412712,0,1,10,0
11,4.923176,1,1,8,0
12,4.010098,1,1,6,0
13,4.188698,1,1,8,0
14,11.12501,1,1,2,0
15,5.367851,1,1,10,0
16,4.8554,1,1,8,0
17,3.767082,1,1,4,0
18,4.034233,0,0,8,0
19,7.80024,0,0,8,0
20,4.222809,1,1,6,0
21,6.843658,1,1,6,0
22,3.966652,1,1,6,0
23,5.44487,0,0,6,0
24,3.91095,0,0,10,0
25,3.990082,0,0,8,0
26,4.333618,0,0,8,0
27,10.1116,1,0,6,0
28,4.032776,1,1,6,0
29,4.111877,0,1,10,0
30,4.822495,1,0,8,0
31,5.411469,1,1,8,0
32,3.532822,0,0,2,0
33,4.357452,1,1,8,0
34,4.050751,0,0,10,0
35,4.866776,1,1,4,0
36,4.028076,1,1,4,0
37,3.833542,1,1,10,0
38,3.88913,1,1,4,0
39,5.145523,1,1,2,0
40,4.12262,1,1,10,0
41,3.844238,1,1,4,0
42,4.221832,0,0,8,0
43,3.644791,1,1,2,0
44,6.578949,1,0,2,0
45,4.512009,0,0,2,0
46,3.755615,1,1,6,0
47,4.510193,1,1,10,0
48,4.678345,1,1,8,0
49,15.01221,1,0,2,0
50,11.08981,1,0,2,0
