trial,duration,answer,correct,distractor count,distractor chance
1,1.221964,1,1,21,30
2,0.9850235,0,0,7,20
3,1.064068,1,1,32,50
4,0.9449463,1,1,9,10
5,0.9222355,1,1,23,30
6,0.929285,0,0,5,10
7,2.089405,0,0,38,50
8,1.088436,1,1,26,30
9,1.13364,1,1,64,100
10,1.409531,0,0,12,20
11,1.558331,1,1,34,50
12,2.245811,0,0,64,100
13,0.9555969,1,1,8,10
14,0.8445511,1,1,4,10
15,1.257004,0,1,48,60
16,0.9654579,1,1,27,50
17,1.255707,0,0,7,10
18,2.535778,0,0,64,100
19,2.411728,0,0,63,90
20,1.255753,0,0,6,20
21,1.656677,0,0,47,70
22,1.065353,1,1,15,20
23,2.325714,1,1,27,50
24,1.723236,0,0,37,70
25,0.8890076,1,1,23,40
26,1.089478,1,1,37,50
27,1.089798,1,1,18,30
28,1.655037,0,1,21,40
29,0.943367,0,0,11,30
30,0.8226166,1,1,7,10
31,1.030571,1,1,25,40
32,1.140228,1,1,15,20
33,2.211235,0,0,55,90
34,1.133934,1,1,9,20
35,1.012032,0,0,14,20
36,1.043953,0,0,8,10
37,1.022667,1,1,32,50
38,1.500465,1,1,38,60
39,1.367256,0,0,41,60
40,0.9227371,1,1,14,20
41,0.9891052,1,1,52,80
42,1.865417,0,0,55,90
43,0.8775635,1,1,57,90
44,1.444778,1,1,7,10
45,0.8110199,0,0,4,10
46,1.156418,0,0,9,20
47,0.9896851,1,1,24,40
48,0.9286346,1,1,42,60
49,0.7991943,0,0,12,30
50,1.096527,1,1,50,80
51,1.566299,1,1,47,80
52,1.944977,0,1,46,70
53,0.8654785,1,1,53,80
54,1.57872,0,0,54,90
55,1.733673,1,1,51,90
56,0.7767944,0,0,18,20
57,0.6896973,1,1,5,10
58,1.512039,0,0,5,10
59,0.799881,1,1,64,100
60,1.020813,1,1,41,80
61,0.7438507,1,1,6,20
62,0.9441223,0,0,14,30
63,2.605118,0,0,31,50
64,1.422791,0,0,36,60
65,1.667358,1,1,48,70
66,1.055634,1,1,10,20
67,1.589432,0,0,31,40
68,0.9223633,1,1,6,10
69,1.299103,0,0,33,50
70,1.7444,0,0,36,60
71,0.8563843,1,1,38,60
72,1.578598,0,0,24,30
73,1.277237,0,0,35,60
74,1.757568,0,0,45,60
75,0.8892059,1,1,28,50
76,1.056915,1,1,21,40
77,0.9888763,1,1,31,50
78,1.523499,0,0,56,90
79,2.843643,0,0,64,100
80,1.232925,1,1,37,50
81,1.120209,0,0,6,10
82,1.900543,0,0,27,40
83,1.199875,1,1,39,60
84,1.289688,1,1,13,30
85,1.690475,0,0,37,60
86,0.9552765,1,1,29,40
87,1.166428,1,1,48,70
88,1.178787,1,1,46,70
89,2.122726,0,0,34,40
90,1.822372,0,0,53,90
91,2.702042,0,0,64,100
92,1.520584,1,1,13,20
93,0.8994141,0,0,26,40
94,1.81134,0,0,38,60
95,0.7494049,1,1,12,20
96,1.35556,0,0,36,60
97,0.9558563,1,1,36,50
98,0.9560699,1,1,8,20
99,1.089478,0,0,9,20
100,2.307159,0,0,64,100
