trial,duration,answer,correct,distractor count,distractor chance
1,0.9669571,1,1,56,90
2,0.7671061,0,0,6,10
3,1.434301,1,0,45,70
4,1.079319,1,1,16,40
5,0.7892456,0,0,5,10
6,1.800249,0,0,48,80
7,0.8558769,1,1,41,50
8,1.044706,1,0,37,60
9,1.667559,1,1,27,50
10,1.299862,1,1,34,40
11,1.477608,0,0,48,80
12,0.8569031,1,1,11,20
13,0.9335365,1,1,24,40
14,1.445686,1,1,38,60
15,2.3451,0,0,64,100
16,1.000225,0,0,64,100
17,1.416142,0,0,42,70
18,1.166534,0,0,41,60
19,0.901104,1,1,16,30
20,0.6890984,1,1,32,50
21,0.7885818,0,0,33,50
22,0.8429794,0,0,31,50
23,0.6561127,1,1,16,20
24,1.343491,1,1,51,80
25,1.702034,0,0,29,50
26,1.011597,0,0,45,70
27,1.723763,0,0,38,70
28,0.8112946,1,1,18,40
29,1.244034,1,1,49,80
30,1.777641,0,0,32,60
31,0.6668625,1,1,64,100
32,1.77636,1,1,59,90
33,0.689743,1,1,19,30
34,0.6771774,1,1,25,40
35,1.067604,1,1,53,80
36,0.6786423,1,1,21,30
37,0.7674026,1,1,21,30
38,1.177963,0,0,32,50
39,1.266289,0,0,49,70
40,1.736221,0,0,62,90
41,1.733765,0,0,39,60
42,1.122955,0,0,63,90
43,0.7549133,1,1,45,60
44,0.7333298,1,1,12,20
45,1.242706,0,0,51,90
46,1.045685,1,1,50,80
47,1.500275,0,0,34,60
48,0.7348404,1,1,12,20
49,0.6896286,1,1,21,30
50,1.011017,0,0,53,70
51,1.788681,1,1,63,90
52,1.632622,0,0,25,40
53,1.355873,0,0,64,100
54,0.6775665,1,1,19,30
55,0.6781082,1,1,26,40
56,1.345955,0,0,42,70
57,1.543312,1,1,40,60
58,1.88015,1,1,17,20
59,0.6109619,1,1,21,30
60,1.822418,0,0,61,90
61,0.7332306,1,1,4,10
62,1.679199,0,0,36,60
63,1.267639,1,1,34,50
64,1.165802,0,0,58,80
65,1.623093,0,0,64,100
66,1.355927,0,0,29,50
67,1.122803,0,0,62,90
68,0.944809,0,0,64,100
69,1.111572,0,0,17,20
70,1.212082,0,0,64,100
71,1.322403,1,1,23,40
72,1.221756,0,0,53,80
73,1.510422,0,0,58,90
74,0.9341736,0,0,25,40
75,0.9998779,1,1,37,50
76,0.8896942,1,1,5,10
77,0.7444611,1,1,10,10
78,0.6788635,1,1,20,30
79,1.41066,0,0,18,20
80,0.7225189,1,1,42,70
81,0.7772217,0,0,6,20
82,0.7111664,1,1,30,50
83,0.8665619,1,1,34,70
84,1.445007,0,0,24,30
85,0.8003845,1,1,64,100
86,0.9330444,0,0,21,40
87,1.57782,0,0,49,80
88,0.8224945,0,0,33,50
89,1.54805,0,0,19,30
90,0.7780914,0,1,64,100
91,1.189667,0,0,64,100
92,0.8008728,1,1,55,80
93,1.589325,0,0,55,80
94,1.266159,0,0,52,80
95,1.188721,1,1,37,70
96,0.7889862,1,1,35,60
97,0.9777679,1,1,58,90
98,2.455826,0,0,59,90
99,1.122284,0,0,56,90
100,0.8549652,1,1,8,10
